Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,0,18,1,Some Random Commen with Id 0
1,0,0,126,6,Some Random Commen with Id 1
2,1,0,85,8,Some Random Commen with Id 2
3,1,0,173,1,Some Random Commen with Id 3
4,1,0,45,1,Some Random Commen with Id 4
5,1,0,110,3,Some Random Commen with Id 5
6,1,0,149,3,Some Random Commen with Id 6
7,1,0,181,7,Some Random Commen with Id 7
8,1,0,102,9,Some Random Commen with Id 8
9,1,0,107,3,Some Random Commen with Id 9
10,1,0,167,7,Some Random Commen with Id 10
11,2,2,53,5,Some Random Commen with Id 11
12,2,2,54,5,Some Random Commen with Id 12
13,2,2,47,9,Some Random Commen with Id 13
14,2,2,161,9,Some Random Commen with Id 14
15,2,2,61,1,Some Random Commen with Id 15
16,2,2,74,5,Some Random Commen with Id 16
17,2,2,112,7,Some Random Commen with Id 17
18,2,2,9,0,Some Random Commen with Id 18
19,3,2,3,6,Some Random Commen with Id 19
20,3,2,99,5,Some Random Commen with Id 20
21,3,2,178,5,Some Random Commen with Id 21
22,3,2,59,8,Some Random Commen with Id 22
23,3,2,79,9,Some Random Commen with Id 23
24,4,3,82,7,Some Random Commen with Id 24
25,4,3,164,1,Some Random Commen with Id 25
26,4,3,137,4,Some Random Commen with Id 26
27,5,3,148,7,Some Random Commen with Id 27
28,5,3,178,7,Some Random Commen with Id 28
29,5,3,177,4,Some Random Commen with Id 29
30,5,3,174,9,Some Random Commen with Id 30
31,5,3,130,5,Some Random Commen with Id 31
32,5,3,123,0,Some Random Commen with Id 32
33,5,3,188,4,Some Random Commen with Id 33
34,5,3,116,7,Some Random Commen with Id 34
35,5,3,3,4,Some Random Commen with Id 35
36,6,1,25,0,Some Random Commen with Id 36
37,6,1,124,1,Some Random Commen with Id 37
38,6,1,102,6,Some Random Commen with Id 38
39,6,1,92,2,Some Random Commen with Id 39
40,6,1,194,4,Some Random Commen with Id 40
41,6,1,2,6,Some Random Commen with Id 41
42,6,1,69,9,Some Random Commen with Id 42
43,7,1,127,0,Some Random Commen with Id 43
44,7,1,3,4,Some Random Commen with Id 44
